region,lease_num,address,city,state,state_category,zip,lease_exp,remaining_term_years,lease_rsf,annual_rent,rent_prsf
11,LDC70315,555 4TH ST NW,WASHINGTON,DC,District of Columbia,20001-2733,12/31/2017,5.84,"345,776","$15,639,535",$45.23
11,LDC01289,555 NEW JERSEY AVE NW,WASHINGTON,DC,District of Columbia,20001-2029,3/10/2013,1.02,"73,062","$3,552,312",$48.62
11,LDC01864,600 E STREET NW,WASHINGTON,DC,District of Columbia,20004-2203,2/21/2014,1.98,"327,663","$12,374,725",$37.77
11,LDC01843,601 D ST NW,WASHINGTON,DC,District of Columbia,20004-2904,8/31/2015,3.50,"520,180","$22,544,390",$43.34
11,LDC01307,601 NEW JERSEY AVENUE NW,WASHINGTON,DC,District of Columbia,20001-2018,8/9/2012,0.44,"217,308","$9,734,624",$44.80
11,LDC01825,616 H STREET NW,WASHINGTON,DC,District of Columbia,20001-3732,9/25/2015,3.57,"53,740","$2,262,599",$42.10
11,LDC01896,616 H STREET NW,WASHINGTON,DC,District of Columbia,20001-3732,9/14/2016,4.54,"53,740","$2,593,013",$48.25
11,LDC01892,625 INDIANA AVE NW,WASHINGTON,DC,District of Columbia,20004-2923,3/7/2016,4.02,"58,931","$2,055,739",$34.88
11,LDC02205,"633 INDIANA AVENUE, NW",WASHINGTON,DC,District of Columbia,20004-2908,9/30/2020,8.59,"151,300","$6,682,248",$44.17
11,LDC02044,650 MASS. AVE. N.W.,WASHINGTON,DC,District of Columbia,20001-3796,7/8/2014,2.35,"66,304","$3,324,742",$50.14
11,LDC02134,655 15TH ST NW,WASHINGTON,DC,District of Columbia,20005-5701,12/31/2014,2.84,"81,088","$3,788,768",$46.72
11,LDC01973,750 17TH ST NW,WASHINGTON,DC,District of Columbia,20006-4607,4/30/2012,0.16,"57,130","$2,864,987",$50.15
11,LDC12501,799 9TH ST NW,WASHINGTON,DC,District of Columbia,20001-4501,1/31/2013,0.92,"99,408","$4,970,400",$50.00
11,LDC02168,"800 9TH STREET, SW",WASHINGTON,DC,District of Columbia,20024-2475,1/17/2020,7.88,"125,863","$4,483,805",$35.62
11,LDC02166,"800 K ST., N.W.",WASHINGTON,DC,District of Columbia,20001-8000,9/30/2019,7.59,"89,807","$3,948,153",$43.96
11,LDC80513,"800 K ST., N.W.",WASHINGTON,DC,District of Columbia,20001-8000,8/31/2013,1.50,"61,023","$2,712,800",$44.46
11,LDC01576,800 N CAPITOL ST NW,WASHINGTON,DC,District of Columbia,20002-4244,10/31/2012,0.67,"100,811","$4,083,465",$40.51
11,LDC01562,800 N CAPITOL ST NW,WASHINGTON,DC,District of Columbia,20002-4244,10/31/2012,0.67,"59,776","$2,359,124",$39.47
11,LDC02092,"801 EYE ST., N.W.",WASHINGTON,DC,District of Columbia,20002-3632,12/31/2018,6.84,"104,934","$5,068,559",$48.30
11,LDC01950,"801 EYE ST., N.W.",WASHINGTON,DC,District of Columbia,20002-3632,6/30/2017,5.33,"86,927","$3,598,151",$41.39
11,LDC70391,"801 EYE ST., N.W.",WASHINGTON,DC,District of Columbia,20002-3632,11/20/2012,0.72,"76,090","$3,880,222",$51.00
11,LDC10134,810 7TH STREET NW,WASHINGTON,DC,District of Columbia,20001-3718,3/31/2012,0.08,"137,141","$4,970,864",$36.25
11,LDC20618,810 7TH STREET NW,WASHINGTON,DC,District of Columbia,20001-3718,3/31/2012,0.08,"94,009","$4,284,079",$45.57
11,LDC01608,820 FIRST ST NE,WASHINGTON,DC,District of Columbia,20002-4243,3/17/2013,1.04,"52,291","$1,714,533",$32.79
11,LDC02296,830 1ST ST NE,WASHINGTON,DC,District of Columbia,20002-8019,7/31/2026,14.42,"247,337","$9,645,493",$39.00
11,LDC30168,888 FIRST ST NE,WASHINGTON,DC,District of Columbia,20002-4270,9/28/2015,3.58,"503,997","$16,102,050",$31.95
11,LDC02165,901 D ST SW,WASHINGTON,DC,District of Columbia,20024-2169,12/31/2014,2.84,"186,880","$8,594,542",$45.99
11,LDC01818,950 L'ENFANT PLAZA,WASHINGTON,DC,District of Columbia,20024-2123,10/12/2015,3.62,"104,459","$3,700,045",$35.42
11,LDC01426,955 LENFANT PLZ SW,WASHINGTON,DC,District of Columbia,20024-2119,7/31/2012,0.42,"81,140","$2,837,262",$34.97
11,LDC01944,999 E ST NW,WASHINGTON,DC,District of Columbia,20463-0002,9/30/2017,5.59,"136,957","$5,267,498",$38.46
11,LDC02158,1275 FIRST ST NE,WASHINGTON (NW),DC,District of Columbia,20002-3370,10/31/2017,5.67,"329,251","$9,698,691",$29.46
11,LDC02155,"1575 EYE STREET, NW",WASHINGTON (NW),DC,District of Columbia,20005-1106,11/30/2020,8.76,"63,798","$2,629,404",$41.21
11,LMD01907,11700 BELTSVILLE DRIVE,BELTSVILLE,MD,Maryland,20705-3103,1/24/2016,3.90,"67,746","$1,774,839",$26.20
11,LMD01473,5901 AMMENDALE ROAD,BELTSVILLE,MD,Maryland,20705-1202,3/6/2018,6.02,"52,609","$1,540,480",$29.28
11,LMD80670,6351 AMMENDALE ROAD,BELTSVILLE,MD,Maryland,20705-1203,3/29/2012,0.08,"116,987","$817,575",$6.99
